+---------------------------+------+----------+------------------+--------------------+--------------------+------------------------+------------------------+
| department                | year | KEN_code | total_basic_cost | total_extra_cost   | total_income       | insurance_provider     | total_hospitalizations |
| Neurology                 | 2024 | ?21?     |             1494 |              373.5 |             1867.5 | Mutual of Omaha        |                      1 |
| Neurology                 | 2024 | ?21?     |             1885 |               3016 |               4901 | Beacon Health Options  |                      1 |
| Neurology                 | 2024 | ?21?     |             1885 |               2262 |               4147 | Cigna                  |                      1 |
| Neurology                 | 2024 | ?21?     |             1885 |                  0 |               1885 | Molina Healthcare      |                      1 |
| Neurology                 | 2024 | ?21?     |             1885 |               1885 |               3770 | WellCare               |                      1 |
| Neurology                 | 2024 | ?41?     |             1837 |  183.6999969482422 | 2020.6999969482422 | Aetna                  |                      1 |
| Neurology                 | 2024 | ?41?     |             3674 | 1102.1999816894531 |  4776.199981689453 | Centene Corporation    |                      2 |
| Neurology                 | 2024 | ?41?     |             1837 |  551.0999755859375 | 2388.0999755859375 | Cigna                  |                      1 |
| Neurology                 | 2024 | ?41?     |             1837 |  183.6999969482422 | 2020.6999969482422 | Guardian Life          |                      1 |
| Neurology                 | 2024 | ?41?     |             1837 |                  0 |               1837 | UnitedHealth Group     |                      1 |
| Neurology                 | 2024 | ?41?     |             1837 |                  0 |               1837 | WellCare               |                      1 |
| Neurology                 | 2025 | ?21?     |             1494 |                747 |               2241 | MetLife                |                      1 |
| Neurology                 | 2025 | ?21?     |             1494 |                  0 |               1494 | Molina Healthcare      |                      1 |
| Neurology                 | 2025 | ?21?     |             1885 |                  0 |               1885 | Health Net             |                      1 |
| Neurology                 | 2025 | ?41?     |             3674 |                  0 |               3674 | Aetna                  |                      2 |
| Neurology                 | 2025 | ?41?     |             1837 |  551.0999755859375 | 2388.0999755859375 | Health Net             |                      1 |
| Neurology                 | 2025 | ?41?     |             1837 |  734.7999877929688 | 2571.7999877929688 | Highmark Health        |                      1 |
| Neurology                 | 2025 | ?41?     |             1837 |  183.6999969482422 | 2020.6999969482422 | Molina Healthcare      |                      1 |
| Neurology                 | 2026 | ?21?     |             1494 |                  0 |               1494 | Mutual of Omaha        |                      1 |
| Neurology                 | 2026 | ?41?     |             1837 |  183.6999969482422 | 2020.6999969482422 | Centene Corporation    |                      1 |
| Orthopedics               | 2021 | ?04?     |             8798 |                  0 |               8798 | Guardian Life          |                      1 |
| Orthopedics               | 2021 | ?04?     |             8798 |                  0 |               8798 | Humana                 |                      1 |
| Orthopedics               | 2021 | ?04?     |             8798 |                  0 |               8798 | MetLife                |                      1 |
| Orthopedics               | 2021 | ?04?     |             8798 |                  0 |               8798 | Mutual of Omaha        |                      1 |
| Orthopedics               | 2021 | ?04?     |            11116 | 1515.8182373046875 | 12631.818237304688 | Kaiser Permanente      |                      2 |
| Orthopedics               | 2021 | ?04?     |             5558 |                  0 |               5558 | MetLife                |                      1 |
| Orthopedics               | 2021 | ?25?     |             1256 |                628 |               1884 | Magellan Health        |                      1 |
| Orthopedics               | 2022 | ?04?     |             8798 |                  0 |               8798 | Beacon Health Options  |                      1 |
| Orthopedics               | 2022 | ?04?     |             8798 |                  0 |               8798 | Kaiser Permanente      |                      1 |
| Orthopedics               | 2022 | ?04?     |             8798 |                  0 |               8798 | Priority Health        |                      1 |
| Orthopedics               | 2022 | ?04?     |             5558 | 1010.5454711914062 |  6568.545471191406 | Beacon Health Options  |                      1 |
| Orthopedics               | 2022 | ?04?     |             5558 |                  0 |               5558 | Molina Healthcare      |                      1 |
| Orthopedics               | 2022 | ?04?     |             5558 |                  0 |               5558 | UnitedHealth Group     |                      1 |
| Orthopedics               | 2022 | ?25?     |             1256 |               3140 |               4396 | Ambetter               |                      1 |
| Orthopedics               | 2022 | ?25?     |             1256 |                628 |               1884 | Centene Corporation    |                      1 |
| Orthopedics               | 2022 | ?25?     |             1256 |                628 |               1884 | Mutual of Omaha        |                      1 |
| Orthopedics               | 2022 | ?25?     |             1256 |                  0 |               1256 | Priority Health        |                      1 |
| Orthopedics               | 2023 | ?04?     |             8798 |                  0 |               8798 | Aetna                  |                      1 |
| Orthopedics               | 2023 | ?04?     |             8798 |                  0 |               8798 | Beacon Health Options  |                      1 |
| Orthopedics               | 2023 | ?04?     |             8798 |                  0 |               8798 | UnitedHealth Group     |                      1 |
| Orthopedics               | 2023 | ?04?     |             5558 |                  0 |               5558 | Aetna                  |                      1 |
| Orthopedics               | 2023 | ?04?     |             5558 |                  0 |               5558 | Guardian Life          |                      1 |
| Orthopedics               | 2023 | ?04?     |             5558 |                  0 |               5558 | Health Net             |                      1 |
| Orthopedics               | 2023 | ?04?     |             5558 |                  0 |               5558 | MetLife                |                      1 |
| Orthopedics               | 2023 | ?25?     |             2512 |               3768 |               6280 | Aetna                  |                      2 |
| Orthopedics               | 2023 | ?25?     |             1256 |               2512 |               3768 | Anthem                 |                      1 |
| Orthopedics               | 2023 | ?25?     |             1256 |                  0 |               1256 | Centene Corporation    |                      1 |
| Orthopedics               | 2023 | ?25?     |             2512 |               3768 |               6280 | Health Net             |                      2 |
| Orthopedics               | 2023 | ?25?     |             2512 |               3768 |               6280 | Humana                 |                      2 |
| Orthopedics               | 2024 | ?04?     |             8798 |                  0 |               8798 | Centene Corporation    |                      1 |
| Orthopedics               | 2024 | ?04?     |             8798 |                  0 |               8798 | Cigna                  |                      1 |
| Orthopedics               | 2024 | ?04?     |            17596 |                  0 |              17596 | Molina Healthcare      |                      2 |
| Orthopedics               | 2024 | ?04?     |             8798 |                  0 |               8798 | Mutual of Omaha        |                      1 |
| Orthopedics               | 2024 | ?04?     |             5558 |                  0 |               5558 | Highmark Health        |                      1 |
| Orthopedics               | 2024 | ?04?     |             5558 |                  0 |               5558 | Mutual of Omaha        |                      1 |
| Orthopedics               | 2024 | ?25?     |             1256 |                  0 |               1256 | Highmark Health        |                      1 |
| Orthopedics               | 2024 | ?25?     |             2512 |                628 |               3140 | Molina Healthcare      |                      2 |
| Orthopedics               | 2024 | ?25?     |             1256 |               2826 |               4082 | WellCare               |                      1 |
| Orthopedics               | 2025 | ?04?     |             8798 |                  0 |               8798 | Aetna                  |                      1 |
| Orthopedics               | 2025 | ?04?     |            17596 |                  0 |              17596 | Anthem                 |                      2 |
| Orthopedics               | 2025 | ?04?     |             8798 |                  0 |               8798 | Blue Cross Blue Shield |                      1 |
| Orthopedics               | 2025 | ?04?     |             5558 |                  0 |               5558 | Aetna                  |                      1 |
| Orthopedics               | 2025 | ?04?     |             5558 |                  0 |               5558 | Beacon Health Options  |                      1 |
| Orthopedics               | 2025 | ?04?     |             5558 |                  0 |               5558 | Centene Corporation    |                      1 |
| Orthopedics               | 2025 | ?04?     |             5558 |                  0 |               5558 | Health Net             |                      1 |
| Orthopedics               | 2025 | ?25?     |             1256 |               2512 |               3768 | Blue Cross Blue Shield |                      1 |
| Orthopedics               | 2025 | ?25?     |             1256 |               2512 |               3768 | Centene Corporation    |                      1 |
| Orthopedics               | 2025 | ?25?     |             1256 |                314 |               1570 | Cigna                  |                      1 |
| Orthopedics               | 2025 | ?25?     |             1256 |               2198 |               3454 | Guardian Life          |                      1 |
| Orthopedics               | 2025 | ?25?     |             1256 |                  0 |               1256 | Kaiser Permanente      |                      1 |
| Orthopedics               | 2026 | ?04?     |             8798 |                  0 |               8798 | Oscar Health           |                      1 |
| Psychiatry                | 2021 | ?20?     |              148 |                  0 |                148 | Molina Healthcare      |                      1 |
| Psychiatry                | 2021 | ?20?     |              148 |                  0 |                148 | Mutual of Omaha        |                      1 |
| Psychiatry                | 2021 | ?48?     |             3261 |                  0 |               3261 | Kaiser Permanente      |                      1 |
| Psychiatry                | 2021 | ?48?     |             6522 |  978.2999877929688 |  7500.299987792969 | UnitedHealth Group     |                      2 |
| Psychiatry                | 2022 | ?20?     |              148 |                888 |               1036 | Ambetter               |                      1 |
| Psychiatry                | 2022 | ?20?     |              148 |               1184 |               1332 | Blue Cross Blue Shield |                      1 |
| Psychiatry                | 2022 | ?20?     |              148 |                888 |               1036 | Guardian Life          |                      1 |
| Psychiatry                | 2022 | ?20?     |              148 |                740 |                888 | Mutual of Omaha        |                      1 |
| Psychiatry                | 2022 | ?20?     |              148 |               1184 |               1332 | Oscar Health           |                      1 |
| Psychiatry                | 2022 | ?48?     |             3261 |  652.2000122070312 | 3913.2000122070312 | Blue Cross Blue Shield |                      1 |
| Psychiatry                | 2022 | ?48?     |             3261 |                  0 |               3261 | Cigna                  |                      1 |
| Psychiatry                | 2022 | ?48?     |             3261 |  652.2000122070312 | 3913.2000122070312 | Molina Healthcare      |                      1 |
| Psychiatry                | 2022 | ?48?     |             3261 |                  0 |               3261 | Mutual of Omaha        |                      1 |
| Psychiatry                | 2022 | ?48?     |             6522 |                  0 |               6522 | Oscar Health           |                      2 |
| Psychiatry                | 2022 | ?48?     |             3261 |                  0 |               3261 | WellCare               |                      1 |
| Psychiatry                | 2023 | ?20?     |              148 |               1480 |               1628 | Guardian Life          |                      1 |
| Psychiatry                | 2023 | ?20?     |              148 |               1628 |               1776 | Health Net             |                      1 |
| Psychiatry                | 2023 | ?20?     |              296 |               1332 |               1628 | Kaiser Permanente      |                      2 |
| Psychiatry                | 2023 | ?20?     |              148 |                296 |                444 | MetLife                |                      1 |
| Psychiatry                | 2023 | ?48?     |             3261 | 1304.4000244140625 | 4565.4000244140625 | Aetna                  |                      1 |
| Psychiatry                | 2023 | ?48?     |             3261 | 1304.4000244140625 | 4565.4000244140625 | Centene Corporation    |                      1 |
| Psychiatry                | 2023 | ?48?     |             3261 |                  0 |               3261 | Cigna                  |                      1 |
| Psychiatry                | 2023 | ?48?     |             6522 | 1956.5999755859375 |  8478.599975585938 | Guardian Life          |                      2 |
| Psychiatry                | 2023 | ?48?     |             3261 |                  0 |               3261 | Highmark Health        |                      1 |
| Psychiatry                | 2023 | ?48?     |             6522 | 1630.5000305175781 |  8152.500030517578 | Kaiser Permanente      |                      2 |
| Psychiatry                | 2023 | ?48?     |             3261 |  326.1000061035156 | 3587.1000061035156 | Mutual of Omaha        |                      1 |
| Psychiatry                | 2023 | ?48?     |             3261 |                  0 |               3261 | Oscar Health           |                      1 |
| Psychiatry                | 2023 | ?48?     |             3261 |  326.1000061035156 | 3587.1000061035156 | UnitedHealth Group     |                      1 |
| Psychiatry                | 2024 | ?20?     |              148 |               1924 |               2072 | Anthem                 |                      1 |
| Psychiatry                | 2024 | ?20?     |              296 |               3404 |               3700 | Centene Corporation    |                      2 |
| Psychiatry                | 2024 | ?48?     |             3261 |                  0 |               3261 | Anthem                 |                      1 |
| Psychiatry                | 2024 | ?48?     |             3261 |                  0 |               3261 | Cigna                  |                      1 |
| Psychiatry                | 2024 | ?48?     |             3261 | 1304.4000244140625 | 4565.4000244140625 | Health Net             |                      1 |
| Psychiatry                | 2024 | ?48?     |             3261 |                  0 |               3261 | Kaiser Permanente      |                      1 |
| Psychiatry                | 2024 | ?48?     |             3261 |  652.2000122070312 | 3913.2000122070312 | Molina Healthcare      |                      1 |
| Psychiatry                | 2025 | ?20?     |              148 |               1776 |               1924 | Cigna                  |                      1 |
| Psychiatry                | 2025 | ?20?     |              148 |                444 |                592 | Guardian Life          |                      1 |
| Psychiatry                | 2025 | ?20?     |              148 |               1184 |               1332 | Health Net             |                      1 |
| Psychiatry                | 2025 | ?20?     |              148 |                592 |                740 | Highmark Health        |                      1 |
| Psychiatry                | 2025 | ?20?     |              148 |                740 |                888 | Priority Health        |                      1 |
| Psychiatry                | 2025 | ?48?     |             3261 |                  0 |               3261 | Anthem                 |                      1 |
| Psychiatry                | 2025 | ?48?     |             3261 |                  0 |               3261 | Highmark Health        |                      1 |
| Psychiatry                | 2026 | ?20?     |              148 |                740 |                888 | Health Net             |                      1 |
| Psychiatry                | 2026 | ?20?     |              148 |                296 |                444 | Humana                 |                      1 |
| Psychiatry                | 2026 | ?48?     |             3261 |                  0 |               3261 | Anthem                 |                      1 |
| Psychiatry                | 2026 | ?48?     |             3261 |                  0 |               3261 | Centene Corporation    |                      1 |
| Psychiatry                | 2026 | ?48?     |             3261 |                  0 |               3261 | Guardian Life          |                      1 |
| Pulmonology               | 2021 | ?10?     |             4627 |            578.375 |           5205.375 | Beacon Health Options  |                      1 |
| Pulmonology               | 2021 | ?10?     |             4627 |           2891.875 |           7518.875 | Blue Cross Blue Shield |                      1 |
| Pulmonology               | 2021 | ?10?     |             4627 |                  0 |               4627 | MetLife                |                      1 |
| Pulmonology               | 2021 | ?12?     |             1910 |               1910 |               3820 | Ambetter               |                      1 |
| Pulmonology               | 2021 | ?12?     |             1910 |              21010 |              22920 | Health Net             |                      1 |
| Pulmonology               | 2021 | ?12?     |             1910 |              13370 |              15280 | Kaiser Permanente      |                      1 |
| Pulmonology               | 2021 | ?12?     |             1798 |                  0 |               1798 | Guardian Life          |                      1 |
| Pulmonology               | 2021 | ?20?     |             2638 | 263.79998779296875 | 2901.7999877929688 | UnitedHealth Group     |                      1 |
| Pulmonology               | 2021 | ?20?     |             2638 |                  0 |               2638 | WellCare               |                      1 |
| Pulmonology               | 2022 | ?10?     |             9254 |           2891.875 |          12145.875 | Health Net             |                      2 |
| Pulmonology               | 2022 | ?10?     |             4627 |            578.375 |           5205.375 | MetLife                |                      1 |
| Pulmonology               | 2022 | ?10?     |             4627 |                  0 |               4627 | Priority Health        |                      1 |
| Pulmonology               | 2022 | ?10?     |             4627 |            578.375 |           5205.375 | UnitedHealth Group     |                      1 |
| Pulmonology               | 2022 | ?12?     |             3820 |              36290 |              40110 | Anthem                 |                      2 |
| Pulmonology               | 2022 | ?12?     |             1910 |               5730 |               7640 | Magellan Health        |                      1 |
| Pulmonology               | 2022 | ?12?     |             1910 |              11460 |              13370 | Molina Healthcare      |                      1 |
| Pulmonology               | 2022 | ?12?     |             3820 |              15280 |              19100 | Mutual of Omaha        |                      2 |
| Pulmonology               | 2022 | ?12?     |             1798 |                  0 |               1798 | Molina Healthcare      |                      1 |
| Pulmonology               | 2022 | ?20?     |             2638 |                  0 |               2638 | Aetna                  |                      1 |
| Pulmonology               | 2022 | ?20?     |             2638 |                  0 |               2638 | Health Net             |                      1 |
| Pulmonology               | 2022 | ?20?     |             2638 | 263.79998779296875 | 2901.7999877929688 | Molina Healthcare      |                      1 |
| Pulmonology               | 2023 | ?10?     |             4627 |                  0 |               4627 | Aetna                  |                      1 |
| Pulmonology               | 2023 | ?10?     |             4627 |                  0 |               4627 | Anthem                 |                      1 |
| Pulmonology               | 2023 | ?10?     |             4627 |            1156.75 |            5783.75 | Health Net             |                      1 |
| Pulmonology               | 2023 | ?12?     |             1910 |              22920 |              24830 | Cigna                  |                      1 |
| Pulmonology               | 2023 | ?12?     |             1910 |               9550 |              11460 | Health Net             |                      1 |
| Pulmonology               | 2023 | ?12?     |             1910 |               3820 |               5730 | Highmark Health        |                      1 |
| Pulmonology               | 2023 | ?12?     |             1798 |                  0 |               1798 | Ambetter               |                      1 |
| Pulmonology               | 2023 | ?12?     |             1798 |  513.7142944335938 | 2311.7142944335938 | Beacon Health Options  |                      1 |
| Pulmonology               | 2023 | ?12?     |             1798 |                  0 |               1798 | Cigna                  |                      1 |
| Pulmonology               | 2023 | ?12?     |             1798 |               1798 |               3596 | Oscar Health           |                      1 |
| Pulmonology               | 2023 | ?20?     |             2638 |  791.4000244140625 | 3429.4000244140625 | Molina Healthcare      |                      1 |
| Pulmonology               | 2023 | ?20?     |             2638 |                  0 |               2638 | Oscar Health           |                      1 |
| Pulmonology               | 2023 | ?20?     |             2638 |                  0 |               2638 | WellCare               |                      1 |
| Pulmonology               | 2024 | ?10?     |             4627 |                  0 |               4627 | Anthem                 |                      1 |
| Pulmonology               | 2024 | ?10?     |             9254 |               4627 |              13881 | Humana                 |                      2 |
| Pulmonology               | 2024 | ?12?     |             1910 |               1910 |               3820 | Anthem                 |                      1 |
| Pulmonology               | 2024 | ?12?     |             1910 |              15280 |              17190 | Centene Corporation    |                      1 |
| Pulmonology               | 2024 | ?12?     |             1910 |              22920 |              24830 | Guardian Life          |                      1 |
| Pulmonology               | 2024 | ?12?     |             1798 |  770.5714111328125 | 2568.5714111328125 | Guardian Life          |                      1 |
| Pulmonology               | 2024 | ?20?     |             2638 |                  0 |               2638 | Beacon Health Options  |                      1 |
| Pulmonology               | 2024 | ?20?     |             2638 |                  0 |               2638 | MetLife                |                      1 |
| Pulmonology               | 2024 | ?20?     |             2638 |  791.4000244140625 | 3429.4000244140625 | Priority Health        |                      1 |
| Pulmonology               | 2025 | ?10?     |             4627 |                  0 |               4627 | Ambetter               |                      1 |
| Pulmonology               | 2025 | ?10?     |             4627 |            3470.25 |            8097.25 | Health Net             |                      1 |
| Pulmonology               | 2025 | ?12?     |             1910 |              13370 |              15280 | Anthem                 |                      1 |
| Pulmonology               | 2025 | ?12?     |             1798 |                  0 |               1798 | Blue Cross Blue Shield |                      1 |
| Pulmonology               | 2025 | ?12?     |             1798 | 1284.2857666015625 | 3082.2857666015625 | Centene Corporation    |                      1 |
| Pulmonology               | 2025 | ?12?     |             1798 |                  0 |               1798 | Health Net             |                      1 |
| Pulmonology               | 2025 | ?12?     |             1798 |                  0 |               1798 | Humana                 |                      1 |
| Pulmonology               | 2025 | ?12?     |             1798 |                  0 |               1798 | Magellan Health        |                      1 |
| Pulmonology               | 2025 | ?12?     |             1798 |  1541.142822265625 |  3339.142822265625 | Molina Healthcare      |                      1 |
| Pulmonology               | 2025 | ?20?     |             2638 |                  0 |               2638 | Blue Cross Blue Shield |                      1 |
| Pulmonology               | 2025 | ?20?     |             2638 |                  0 |               2638 | Cigna                  |                      1 |
| Pulmonology               | 2025 | ?20?     |             2638 |                  0 |               2638 | Kaiser Permanente      |                      1 |
| Pulmonology               | 2025 | ?20?     |             2638 |  791.4000244140625 | 3429.4000244140625 | Oscar Health           |                      1 |
| Pulmonology               | 2026 | ?10?     |             4627 |                  0 |               4627 | Anthem                 |                      1 |
| Pulmonology               | 2026 | ?12?     |             1798 |  770.5714111328125 | 2568.5714111328125 | Molina Healthcare      |                      1 |
| Surgical Department       | 2021 | ?11?     |              566 |               2547 |               3113 | Highmark Health        |                      1 |
| Surgical Department       | 2021 | ?11?     |              566 |               3396 |               3962 | Humana                 |                      1 |
| Surgical Department       | 2021 | ?11?     |              566 |               1132 |               1698 | MetLife                |                      1 |
| Surgical Department       | 2021 | ?11?     |             1132 |                  0 |               1132 | Molina Healthcare      |                      2 |
| Surgical Department       | 2022 | ?11?     |              566 |               2264 |               2830 | Blue Cross Blue Shield |                      1 |
| Surgical Department       | 2022 | ?11?     |             1132 |               2830 |               3962 | Health Net             |                      2 |
| Surgical Department       | 2022 | ?11?     |              566 |                  0 |                566 | Humana                 |                      1 |
| Surgical Department       | 2022 | ?11?     |              566 |               1981 |               2547 | Kaiser Permanente      |                      1 |
| Surgical Department       | 2022 | ?11?     |              566 |               2264 |               2830 | MetLife                |                      1 |
| Surgical Department       | 2022 | ?11?     |              566 |               3113 |               3679 | Oscar Health           |                      1 |
| Surgical Department       | 2022 | ?11?     |              566 |                  0 |                566 | Priority Health        |                      1 |
| Surgical Department       | 2023 | ?11?     |              566 |               1132 |               1698 | Blue Cross Blue Shield |                      1 |
| Surgical Department       | 2023 | ?11?     |              566 |               1698 |               2264 | Highmark Health        |                      1 |
| Surgical Department       | 2024 | ?11?     |              566 |                283 |                849 | Aetna                  |                      1 |
| Surgical Department       | 2024 | ?11?     |              566 |               1981 |               2547 | Centene Corporation    |                      1 |
| Surgical Department       | 2024 | ?11?     |              566 |                  0 |                566 | Guardian Life          |                      1 |
| Surgical Department       | 2024 | ?11?     |              566 |               2830 |               3396 | Molina Healthcare      |                      1 |
| Surgical Department       | 2025 | ?11?     |              566 |               2830 |               3396 | Aetna                  |                      1 |
| Surgical Department       | 2025 | ?11?     |              566 |               1415 |               1981 | Guardian Life          |                      1 |
| Surgical Department       | 2025 | ?11?     |             1132 |               3113 |               4245 | Health Net             |                      2 |
+---------------------------+------+----------+------------------+--------------------+--------------------+------------------------+------------------------+
459 rows in set (0.050 sec)
